corpus,language,prosodic_type,data_type,source,xgboost_f1w,svm_f1w,rf_f1w,abl_Perturbation,abl_Frequency,abl_MFCC,abl_Spectral,abl_Formant,abl_Temporal
TurEV-DB,Turkish,syllable-timed,acted,local,0.5068,0.5264,0.4669,0.0008,0.0,-0.085,-0.0006,-0.0024,-0.0096
MDER-MA,Arabic-Moroccan,stress-timed,acted,local,0.9309,0.969,0.926,0.0071,0.0025,-0.0617,0.0095,0.0096,-0.0001
URDU-Dataset,Urdu,stress-timed,natural,local,0.93,0.9624,0.9376,-0.0075,-0.0099,-0.0455,0.0,0.0,0.0049
emoUERJ,Portuguese-BR,syllable-timed,acted,local,0.8621,0.907,0.8486,-0.0322,0.0023,-0.0726,0.0077,-0.0026,0.0026
ASED,Amharic,stress-timed,acted,local,0.8668,0.9047,0.8131,-0.0221,-0.0373,-0.08,-0.0057,0.0028,0.0019
RAVDESS,English,stress-timed,acted,zenodo,0.7309,0.7776,0.6621,0.0041,-0.021,-0.1449,0.0025,-0.0031,0.0037
EmoDB,German,stress-timed,acted,direct,0.8327,0.8973,0.8183,-0.015,-0.0385,-0.0904,-0.0119,-0.0026,-0.006
CREMA-D,English,stress-timed,crowd-acted,huggingface,0.5702,0.5965,0.5336,-0.0062,-0.0416,-0.0327,-0.0018,-0.0036,-0.005
AESDD,Greek,stress-timed,acted,huggingface,0.7473,0.7767,0.7351,-0.0108,-0.0295,-0.1145,0.0006,-0.0083,-0.0022
nEMO,Polish,stress-timed,acted,local,0.8895,0.9036,0.832,-0.0089,-0.036,-0.1554,-0.0021,-0.0021,-0.0113
RESD,Russian,stress-timed,acted,local,0.6704,0.7267,0.6473,0.0183,-0.0057,-0.1992,0.0162,0.0207,0.0075
DUSHA,Russian,stress-timed,crowd-sourced,local,0.523,0.5261,0.5073,-0.0179,-0.0515,-0.0236,0.004,0.0027,-0.0007
SUBESCO,Bengali,stress-timed,acted,local,0.9015,0.9298,0.8351,-0.007,-0.0308,-0.1342,0.0034,-0.0009,0.0025
ESD-ZH,Mandarin,tonal,multi-speaker,local,0.8851,0.9235,0.8038,-0.0086,-0.0228,-0.1462,0.0011,-0.0038,-0.001
CAVES,Cantonese,tonal,acted,local,0.8164,0.835,0.763,-0.0051,-0.0327,-0.1961,-0.0019,0.0031,-0.0022
Thai-SER,Thai,tonal,acted,local,0.7342,0.753,0.6989,-0.006,-0.0109,-0.0403,0.0041,0.0021,0.0064
JVNV,Japanese,pitch-accent,acted,local,0.7025,0.7497,0.6904,-0.0229,-0.0113,-0.1986,-0.0117,0.0013,0.0052
CaFE,French,syllable-timed,acted,local,0.5451,0.5695,0.5159,-0.0424,-0.0276,-0.109,0.0005,0.0034,-0.0115
Emozionalmente,Italian,syllable-timed,acted,local,0.5132,0.5177,0.4722,-0.0273,-0.0581,-0.0562,-0.0053,-0.0079,0.0007
MESD,Spanish,syllable-timed,acted,local,0.7831,0.8009,0.7527,-0.0441,-0.0812,-0.1296,0.0043,0.0105,0.0105
VISEC,Vietnamese,tonal,acted,local,0.632,0.6218,0.5844,-0.01,-0.016,-0.0528,0.0011,-0.0017,-0.0021
EmoTale,Danish,stress-timed,acted,local,0.6365,0.6432,0.5991,-0.0136,-0.0542,-0.1167,-0.0046,0.0086,-0.0057
Oreau,French,syllable-timed,acted,local,0.4414,0.4567,0.4405,-0.0211,-0.032,-0.0214,-0.0444,0.0036,-0.0128
KazEmoTTS,Kazakh,stress-timed,TTS,local,0.8877,0.8825,0.8467,-0.0093,-0.0783,-0.0424,-0.002,-0.0045,0.0005
"Hi,KIA",Korean,stress-timed,acted,local,0.7711,0.7743,0.7686,-0.0068,-0.0271,-0.0857,-0.0122,-0.0099,-0.0181
